year,old_care_vir,young_care_vir,old_fare_vir,young_fare_vir,old_loya_vir,young_loya_vir,old_auth_vir,young_auth_vir,old_sanc_vir,young_sanc_vir,old_care_vic,young_care_vic,old_fare_vic,young_fare_vic,old_loya_vic,young_loya_vic,old_auth_vic,young_auth_vic,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1981,0.27812022,0.29915744,-0.23374811,-0.08703691,0.116877414,0.32487276,0.16129342,0.2582764,0.34302813,0.4535437,0.099545844,0.03435991,0.23010892,0.1920552,0.12581353,0.09588839,-0.07043207,-0.08842447,0.25584674,0.22189878,0.099545844,0.23010892,0.12581353,-0.07043207,0.25584674,0.13311421871185303,0.12817659378051757,0.03435991,0.1920552,0.09588839,-0.08842447,0.22189878,0.2497626781463623,0.0911555528640747
1982,0.24481855,0.30082732,-0.22518465,-0.10973276,0.08126529,0.30087048,0.13717763,0.2844178,0.31729063,0.45997205,0.09068537,0.037270844,0.25021112,0.24753325,0.088092715,0.08879091,0.016551254,-0.035820976,0.32342976,0.2932077,0.09068537,0.25021112,0.088092715,0.016551254,0.32342976,0.11107349395751953,0.1537940502166748,0.037270844,0.24753325,0.08879091,-0.035820976,0.2932077,0.24727098941802977,0.12619634866714477
1983,0.2639618,0.30060387,-0.1986592,-0.06425494,0.08232263,0.322969,0.16250975,0.2951902,0.32904056,0.46308032,0.17726745,0.05112148,0.31589085,0.30437443,0.14457913,0.111912735,0.09072142,-0.047383316,0.3472259,0.25774914,0.17726745,0.31589085,0.14457913,0.09072142,0.3472259,0.12783510684967042,0.2151369571685791,0.05112148,0.30437443,0.111912735,-0.047383316,0.25774914,0.26351768970489503,0.13555488586425782
1984,0.2221413,0.27555245,-0.19597511,-0.10260213,0.09417506,0.3232515,0.16989349,0.28307343,0.3811654,0.4303375,0.21049377,-0.0022080243,0.26147383,0.18096644,0.22044373,0.09895466,0.13504499,-0.06974995,0.4487596,0.24326241,0.21049377,0.26147383,0.22044373,0.13504499,0.4487596,0.1342800259590149,0.255243182182312,-0.0022080243,0.18096644,0.09895466,-0.06974995,0.24326241,0.24192254543304442,0.09024510383605958
1985,0.2567979,0.23178357,-0.15175173,-0.08355033,0.13010107,0.3043946,0.21332508,0.29996884,0.42397395,0.47694767,0.18882066,-0.0033300854,0.33784953,0.19828492,0.25081947,0.1047252,0.14386448,-0.069355205,0.3594793,0.1966404,0.18882066,0.33784953,0.25081947,0.14386448,0.3594793,0.17448925971984863,0.2561666965484619,-0.0033300854,0.19828492,0.1047252,-0.069355205,0.1966404,0.24590888023376464,0.08539304733276368
1986,0.23846994,0.24629639,-0.17692988,-0.051413238,0.14031938,0.33069175,0.19507468,0.27155888,0.40970814,0.49273986,0.14803715,0.013827192,0.35114866,0.30093634,0.24751061,0.19442531,0.13391098,-0.007826552,0.40943187,0.30693024,0.14803715,0.35114866,0.24751061,0.13391098,0.40943187,0.16132845878601074,0.2580078601837158,0.013827192,0.30093634,0.19442531,-0.007826552,0.30693024,0.2579747200012207,0.16165851354598998
1987,0.23805021,0.25285375,-0.1989299,-0.063972846,0.14290836,0.31007513,0.19548798,0.3113153,0.42462885,0.45071584,0.1820778,0.03312171,0.37067744,0.31057125,0.24537306,0.15483207,0.1945686,0.020637162,0.4302078,0.3066274,0.1820778,0.37067744,0.24537306,0.1945686,0.4302078,0.16042909622192383,0.28458094596862793,0.03312171,0.31057125,0.15483207,0.020637162,0.3066274,0.25219743251800536,0.16515791416168213
1988,0.25883257,0.24510315,-0.14671606,-0.07927902,0.1594441,0.296987,0.22714466,0.23837273,0.5063747,0.4441392,0.18822202,0.06791431,0.419937,0.3602798,0.21737733,0.16337013,0.14318329,0.010131586,0.49040926,0.32386044,0.18822202,0.419937,0.21737733,0.14318329,0.49040926,0.2010159969329834,0.2918257713317871,0.06791431,0.3602798,0.16337013,0.010131586,0.32386044,0.22906460762023925,0.18511126041412354
1989,0.22461331,0.2639311,-0.2165136,-0.08144066,0.09635444,0.27578843,0.14411038,0.22310832,0.42295885,0.46101075,0.09144937,0.052111596,0.26948693,0.2836744,0.017189965,0.08597204,0.0173807,0.039500818,0.37848353,0.3763886,0.09144937,0.26948693,0.017189965,0.0173807,0.37848353,0.134304678440094,0.15479810237884523,0.052111596,0.2836744,0.08597204,0.039500818,0.3763886,0.22847957611083985,0.16752948760986328
1990,0.23527499,0.25798097,-0.23077285,-0.13655585,0.052536175,0.24768218,0.1718899,0.23300883,0.38638407,0.41572922,0.10828407,0.024957914,0.27616915,0.29354182,0.11421127,0.109632336,-0.021220759,-0.032703232,0.36018735,0.2898015,0.10828407,0.27616915,0.11421127,-0.021220759,0.36018735,0.12306245565414428,0.1675262212753296,0.024957914,0.29354182,0.109632336,-0.032703232,0.2898015,0.20356907844543456,0.13704607486724854
