year,old_care_vir,young_care_vir,old_care_vic,young_care_vic,old_fare_vir,young_fare_vir,old_fare_vic,young_fare_vic,old_loya_vir,young_loya_vir,old_loya_vic,young_loya_vic,old_auth_vir,young_auth_vir,old_auth_vic,young_auth_vic,old_sanc_vir,young_sanc_vir,old_sanc_vic,young_sanc_vic,old_care,old_fare,old_loya,old_auth,old_sanc,old_virtue,old_vice,young_care,young_fare,young_loya,young_auth,young_sanc,young_virtue,young_vice
1973,-0.06221267,0.050491847,0.19426021,-0.085360445,-0.2565958,-0.119636886,-0.0023559853,-0.00425718,-0.19851686,0.076175526,0.15089399,-0.027325088,-0.14208195,-0.10591338,-0.059181258,-0.22591436,-0.09673086,0.06256723,-0.012179092,-0.12128818,0.19426021,-0.0023559853,0.15089399,-0.059181258,-0.012179092,-0.15122761726379394,0.05428757667541504,-0.085360445,-0.00425718,-0.027325088,-0.22591436,-0.12128818,-0.007263132929801941,-0.09282904863357544
1974,-0.043675847,0.0505021,0.32164493,0.016493417,-0.26023078,-0.08619322,0.19092545,0.11700924,-0.2087597,0.117031485,0.08235645,-0.113683835,-0.011610808,-0.076182425,0.05137324,-0.15227908,-0.091839075,0.022412807,0.0031167604,-0.1212401,0.32164493,0.19092545,0.08235645,0.05137324,0.0031167604,-0.12322324514389038,0.12988337278366088,0.016493417,0.11700924,-0.113683835,-0.15227908,-0.1212401,0.0055141493678092955,-0.05074006915092468
1975,-0.060236916,0.02541896,0.092231095,-0.105933934,-0.2671419,-0.15479265,-0.051797055,0.019581333,-0.22791755,0.05706364,0.016958073,-0.11298982,-0.1062839,-0.12091526,-0.16627431,-0.15821059,0.051188134,0.07585906,-0.0065161064,-0.091004014,0.092231095,-0.051797055,0.016958073,-0.16627431,-0.0065161064,-0.1220784306526184,-0.023079660534858704,-0.105933934,0.019581333,-0.11298982,-0.15821059,-0.091004014,-0.0234732523560524,-0.08971140384674073
1976,-0.032809477,0.07799655,-0.0021641813,-0.094305426,-0.21129194,-0.041295823,-0.01116218,0.039688073,-0.24148129,-0.010954801,-0.054232758,-0.2639528,-0.06594737,0.033717204,-0.23612288,-0.25359282,0.110965,0.09286439,-0.09867088,-0.13805997,-0.0021641813,-0.01116218,-0.054232758,-0.23612288,-0.09867088,-0.08811300992965698,-0.08047057390213012,-0.094305426,0.039688073,-0.2639528,-0.25359282,-0.13805997,0.03046550452709198,-0.1420445919036865
1977,0.048854083,0.08888079,0.019385196,-0.076123774,-0.19430543,-0.023872443,0.056652233,0.2290312,-0.16368634,0.103721626,0.020053716,-0.116979964,-0.055939857,0.00656398,-0.18559845,-0.20193271,0.11327466,0.14153498,-0.08406427,-0.10164791,0.019385196,0.056652233,0.020053716,-0.18559845,-0.08406427,-0.05036057829856873,-0.03471431434154511,-0.076123774,0.2290312,-0.116979964,-0.20193271,-0.10164791,0.06336578726768494,-0.05353063344955444
1978,-0.06678016,0.066926,0.16709967,0.048398644,-0.23107964,-0.077270746,0.07107928,0.07040854,-0.08177204,0.19956315,0.20138156,0.12649763,-0.05300661,0.017498542,-0.19834432,-0.20090866,0.15371498,0.29725403,0.025806539,0.041174203,0.16709967,0.07107928,0.20138156,-0.19834432,0.025806539,-0.05578469038009644,0.05340454578399658,0.048398644,0.07040854,0.12649763,-0.20090866,0.041174203,0.10079419612884521,0.017114070057868958
1979,-0.09075394,0.042106565,0.10220959,0.07641002,-0.23207916,-0.07922151,0.053682894,0.15307154,-0.031105287,0.21426985,0.14000468,0.048307113,-0.075040706,-0.006862427,-0.10259231,-0.11622891,0.22203295,0.32224417,0.084579475,0.076265305,0.10220959,0.053682894,0.14000468,-0.10259231,0.084579475,-0.04138922989368439,0.05557686686515808,0.07641002,0.15307154,0.048307113,-0.11622891,0.076265305,0.09850732684135437,0.04756501317024231
1980,-0.05903764,0.072722584,0.25711548,0.16082904,-0.16693099,-0.02743188,0.16189602,0.21383595,-0.062064804,0.19718853,0.21281025,0.08952602,-0.0841618,-0.0023257602,-0.07031933,-0.11445695,0.22728711,0.35071945,0.3177692,0.2634867,0.25711548,0.16189602,0.21281025,-0.07031933,0.3177692,-0.02898162603378296,0.17585432529449463,0.16082904,0.21383595,0.08952602,-0.11445695,0.2634867,0.11817458868026734,0.12264416217803956
1981,0.06502691,0.106162965,0.2984506,0.16313046,-0.18702497,-0.04336315,0.18222007,0.19348839,0.043607146,0.23643869,0.34755898,0.1052724,-0.13123652,-0.051461738,-0.07273248,-0.1244931,0.25578195,0.34058946,0.25251245,0.18211368,0.2984506,0.18222007,0.34755898,-0.07273248,0.25251245,0.009230902791023255,0.2016019344329834,0.16313046,0.19348839,0.1052724,-0.1244931,0.18211368,0.11767324209213256,0.10390236377716064
1982,0.028583366,0.10435898,0.25620872,0.13645831,-0.18576774,-0.061548077,0.18723226,0.20394138,0.058147907,0.25778633,0.28352892,0.17380694,-0.07736872,0.01963593,-0.038968105,-0.10743812,0.24543276,0.33562303,0.307683,0.24331628,0.25620872,0.18723226,0.28352892,-0.038968105,0.307683,0.013805514574050904,0.1991369605064392,0.13645831,0.20394138,0.17380694,-0.10743812,0.24331628,0.1311712384223938,0.1300169587135315
